"Step","Loss"
"0","2.355253219604492"
"1","1.9021490812301636"
"2","1.7910001277923584"
"3","1.5759429931640625"
"4","1.8046677112579346"
"5","1.3949286937713623"
"6","1.3579038381576538"
"7","1.5020637512207031"
"8","1.3343517780303955"
"9","1.450096607208252"
"10","1.3275070190429688"
"11","1.4554576873779297"
"12","1.200255036354065"
"13","1.171478509902954"
"14","1.3334996700286865"
"15","1.3704442977905273"
"16","1.159605860710144"
"17","1.0762442350387573"
"18","1.0951149463653564"
"19","1.054827332496643"
"20","1.168809175491333"
"21","0.9977162480354309"
"22","1.1489880084991455"
"23","1.1362346410751343"
"24","1.1797490119934082"
"25","1.047589898109436"
"26","1.0294432640075684"
"27","0.9653611779212952"
"28","0.8386117219924927"
"29","1.1281044483184814"
"30","0.907839298248291"
"31","0.9496840238571167"
"32","0.7984551191329956"
"33","1.065757393836975"
"34","1.1216137409210205"
"35","1.0551865100860596"
"36","0.9048073291778564"
"37","0.9419496059417725"
"38","1.155843734741211"
"39","0.9535607099533081"
"40","0.8560165166854858"
"41","0.9880748987197876"
"42","0.9862573742866516"
"43","0.9146031141281128"
"44","0.9897918105125427"
"45","0.7968378067016602"
"46","1.1213605403900146"
"47","0.8036390542984009"
"48","1.0660288333892822"
"49","0.8052493333816528"
"50","0.7506603598594666"
"51","0.9298000931739807"
"52","0.7166152596473694"
"53","0.6829888820648193"
"54","0.7767539024353027"
"55","0.8538559675216675"
"56","0.8916027545928955"
"57","0.9845631122589111"
"58","1.0427241325378418"
"59","0.8999010920524597"
"60","0.8625136613845825"
"61","0.713481068611145"
"62","0.8508886098861694"
"63","0.7451525926589966"
"64","0.716667115688324"
"65","0.6234689354896545"
"66","0.7801787853240967"
"67","0.7083818912506104"
"68","0.8759928345680237"
"69","0.70449298620224"
"70","0.7080830335617065"
"71","0.6203935742378235"
"72","0.8014819622039795"
"73","0.7565659284591675"
"74","0.7878758907318115"
"75","0.6828851103782654"
"76","0.8127371668815613"
"77","0.7700432538986206"
"78","0.7856754064559937"
"79","0.7822444438934326"
"80","0.9060102105140686"
"81","0.6221051216125488"
"82","0.5371431112289429"
"83","0.726766049861908"
"84","0.6364231109619141"
"85","0.6406072378158569"
"86","0.6641942262649536"
"87","0.5625780820846558"
"88","0.5004488229751587"
"89","0.48828843235969543"
"90","0.7138503789901733"
"91","0.6505873203277588"
"92","0.8185862302780151"
"93","0.6724266409873962"
"94","0.7797152996063232"
"95","0.6511227488517761"
"96","0.6445245742797852"
"97","0.5950061678886414"
"98","0.6021214127540588"
"99","0.5852780938148499"
"100","0.5230997204780579"
